schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
provider,holding_company,12,contact_person_phone_number,character varying(100),YES,NULL,,NO,,,,,The full telephone number of the main contact at the company,This entity will hold all details regarding a Holding Company
provider,holding_company,13,contact_person_email_address,text,YES,NULL,,NO,,,,,The email address of the main contact at the company,This entity will hold all details regarding a Holding Company
provider,holding_company,14,companies_house_details,character varying(100),NO,NULL,,NO,,,,,The unique record in companies house.,This entity will hold all details regarding a Holding Company
provider,provider,1,provider_id,uuid,NO,NULL,pk_provider,YES,,,,,Unique ID of the Provider,This provider entity all key information regarding the provider
provider,provider,2,holding_company_id,uuid,NO,NULL,,NO,fk_provider_holding_company,provider,holding_company,holding_company_id,Foreign Key to parent company if the provider has one,This provider entity all key information regarding the provider
provider,provider,3,provider_name,character varying(100),NO,NULL,,NO,,,,,Full name of the provider,This provider entity all key information regarding the provider
provider,provider,4,address_line_1,character varying(100),NO,NULL,,NO,,,,,"This should contain the primary address information, typically the house number and street name",This provider entity all key information regarding the provider
provider,provider,5,address_line_2,character varying(100),YES,NULL,,NO,,,,,"This is for additional address details if necessary, such as the apartment or suite number",This provider entity all key information regarding the provider
provider,provider,6,town_city,character varying(100),YES,NULL,,NO,,,,,The name of the town or city,This provider entity all key information regarding the provider
provider,provider,7,county,character varying(100),YES,NULL,,NO,,,,,"While not always necessary, especially for larger cities, the county can be included for clarity",This provider entity all key information regarding the provider
provider,provider,8,postcode,character varying(20),NO,NULL,,NO,,,,,"The UK postcode is a crucial element of the address, used to identify the precise location for mail delivery.",This provider entity all key information regarding the provider
provider,provider,9,country,character varying(100),YES,NULL,,NO,,,,,"If the address is being used in an international context, specifying 'United Kingdom' is important.",This provider entity all key information regarding the provider
provider,provider,10,provider_status,character varying(9),NO,NULL,,NO,,,,,"The current status of the provider. 

Details TBA

EG: 
Approved
Pending
Declined",This provider entity all key information regarding the provider
provider,provider,11,provider_email_address,character varying(100),YES,NULL,,NO,,,,,Provider contact details: Email Address,This provider entity all key information regarding the provider
provider,provider,12,provider_phone_number,character varying(20),YES,NULL,,NO,,,,,Provider contact details: phone number,This provider entity all key information regarding the provider
provider,provider,13,last_regulating_body_inspection_date,date,YES,NULL,,NO,,,,,Date of last full inspection by Regulating Body,This provider entity all key information regarding the provider
provider,provider,14,regulatory_body_registration_reference,character varying(100),YES,NULL,,NO,,,,,Regulatory Body Registration code,This provider entity all key information regarding the provider
provider,provider,15,inspection_outcome_rating,character varying(100),YES,NULL,,NO,,,,,The rating of the last inspection,This provider entity all key information regarding the provider
provider,provider,16,responsible_individual_name,character varying(100),YES,NULL,,NO,,,,,This is the person's full name responsible for holding the regulatory body registration,This provider entity all key information regarding the provider
provider,provider,17,responsible_individual_contact_number,character varying(20),YES,NULL,,NO,,,,,This is the person's contact telephone number responsible for holding the regulatory body registration,This provider entity all key information regarding the provider
provider,provider,18,responsible_individual_email_address,character varying(100),YES,NULL,,NO,,,,,This is the person's contact email address responsible for holding the regulatory body registration,This provider entity all key information regarding the provider
provider,provider,19,registrant_name,character varying(100),YES,NULL,,NO,,,,,Individual person's full name registering the provider onto the portal,This provider entity all key information regarding the provider
provider,provider,20,registrant_role,character varying(100),YES,NULL,,NO,,,,,Individual person's role registering the provider onto the portal,This provider entity all key information regarding the provider
provider,provider,21,registrant_email_address,character varying(100),YES,NULL,,NO,,,,,Individual person's email address registering the provider onto the portal,This provider entity all key information regarding the provider
provider,provider,22,registrant_contact_number,character varying(100),YES,NULL,,NO,,,,,Individual person's contact telephone registering the provider onto the portal,This provider entity all key information regarding the provider
provider,provider,23,sic_codes,character varying[],NO,NULL,,NO,,,,,List of SIC codes,This provider entity all key information regarding the provider
provider,provider,24,companies_house_registration_reference,character varying(100),YES,NULL,,NO,,,,,The unique registration code provided by companies house,This provider entity all key information regarding the provider
provider,provider,25,national_contract_external_link,character varying(1000),YES,NULL,,NO,,,,,A web link to the national contracts held for this provider,This provider entity all key information regarding the provider
provider,provider,26,created_by,character varying(100),NO,NULL,,NO,,,,,The system user that created this record,This provider entity all key information regarding the provider
provider,provider,27,modified_by,character varying(100),YES,NULL,,NO,,,,,The system user that last modified this record,This provider entity all key information regarding the provider
provider,provider,28,created_timestamp,timestamp without time zone,NO,now(),,NO,,,,,Date/Time the Provider was created on the system,This provider entity all key information regarding the provider
provider,provider,29,modified_timestamp,timestamp without time zone,YES,NULL,,NO,,,,,The date/time this record was last modified,This provider entity all key information regarding the provider
provider,provider,30,regulatory_body_name,character varying(100),YES,NULL,,NO,,,,,NULL,This provider entity all key information regarding the provider
provider,provider,31,is_fostering_spot,boolean,YES,FALSE,,NO,,,,,NULL,This provider entity all key information regarding the provider
provider,provider,32,qa_flag,boolean,YES,FALSE,,NO,,,,,Quality Assurance flag ,This provider entity all key information regarding the provider
provider,provider,33,qa_flag_fostering_spot,boolean,YES,FALSE,,NO,,,,,Quality Assurance flag ,This provider entity all key information regarding the provider
provider,provider,34,qa_flag_sup_acc,boolean,YES,FALSE,,NO,,,,,Quality Assurance flag for supported accommodation,This provider entity all key information regarding the provider
provider,provider,35,qa_flag_resi,boolean,YES,FALSE,,NO,,,,,Quality Assurance flag for residential,This provider entity all key information regarding the provider
provider,provider_document,1,s3_file_metadata_id,uuid,NO,NULL,pk_provider_document,YES,fk_s3_file_metadata,document,s3_file_metadata,s3_file_metadata_id,NULL,NULL
provider,provider_document,1,s3_file_metadata_id,uuid,NO,NULL,pk_provider_document,YES,fk_s3_file_metadata,document,s3_file_metadata,s3_file_metadata_id,NULL,NULL
provider,provider_document,2,provider_id,uuid,NO,NULL,pk_provider_document,YES,fk_provider,provider,provider,provider_id,NULL,NULL
provider,provider_education_provision,1,provider_education_provision_id,uuid,NO,NULL,pk_provider_educational_provision,YES,,,,,NULL,NULL
provider,provider_education_provision,2,provider_id,uuid,NO,NULL,,NO,,,,,NULL,NULL
provider,provider_education_provision,3,provider_home_id,uuid,NO,NULL,,NO,fk_provider_education_provision_provider_home,provider,provider_home,provider_home_id,NULL,NULL
