schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,contract_loaded_at
,offer,12,can_edit_offer,string,true,2026-08-21 09:46:13.725346
,offer,13,withdraw_reason,string,true,2026-08-21 09:46:13.725346
,offer,14,withdraw_reason_other,string,true,2026-08-21 09:46:13.725346
,offer,15,offer_status,string,true,2026-08-21 09:46:13.725346
,offer,16,offer_type,string,true,2026-08-21 09:46:13.725346
,offer,17,provider_home_id,string,true,2026-08-21 09:46:13.725346
,offer,18,category,string,true,2026-08-21 09:46:13.725346
,offer,19,category_code,string,true,2026-08-21 09:46:13.725346
,offer,20,education_weekly_fee,string,true,2026-08-21 09:46:13.725346
,offer,21,export_date,string,true,2026-08-21 09:46:13.725346
,referral,5,is_sibling_placement,string,true,2026-08-21 09:46:13.725346
,referral,6,sibling_count,string,true,2026-08-21 09:46:13.725346
,referral,7,is_parent_child_placement,string,true,2026-08-21 09:46:13.725346
,referral,8,has_location_preferrence,string,true,2026-08-21 09:46:13.725346
,referral,9,location_preference_details,string,true,2026-08-21 09:46:13.725346
,referral,10,has_location_restriction,string,true,2026-08-21 09:46:13.725346
,referral,11,location_restriction_details,string,true,2026-08-21 09:46:13.725346
,referral,12,additional_information,string,true,2026-08-21 09:46:13.725346
,referral,13,referral_created_date,string,true,2026-08-21 09:46:13.725346
,referral,14,referral_modified_date,string,true,2026-08-21 09:46:13.725346
,referral,15,is_spot,string,true,2026-08-21 09:46:13.725346
,referral,16,referral_created_by,string,true,2026-08-21 09:46:13.725346
,referral,17,referral_updated_by,string,true,2026-08-21 09:46:13.725346
,referral,18,referral_status,string,true,2026-08-21 09:46:13.725346
,referral,19,export_date,string,true,2026-08-21 09:46:13.725346
,referral_category,1,referral_id,string,true,2026-08-21 09:46:13.725346
,referral_category,2,framework_category_id,string,true,2026-08-21 09:46:13.725346
,referral_category,3,export_date,string,true,2026-08-21 09:46:13.725346
,referral_person,1,person_id,string,true,2026-08-21 09:46:13.725346
,referral_person,2,referral_id,string,true,2026-08-21 09:46:13.725346
,referral_person,3,initials,string,true,2026-08-21 09:46:13.725346
,referral_person,4,age_value,string,true,2026-08-21 09:46:13.725346
,referral_person,5,age_date_unit,string,true,2026-08-21 09:46:13.725346
,referral_person,6,has_restrictions,string,true,2026-08-21 09:46:13.725346
,referral_person,7,restriction_details,string,true,2026-08-21 09:46:13.725346
,referral_person,8,source_reference_id,string,true,2026-08-21 09:46:13.725346
,referral_person,9,gender,string,true,2026-08-21 09:46:13.725346
,referral_provider_cancel_reason,3,cancel_reason,string,true,2026-08-21 09:46:13.725346
,referral_provider_cancel_reason,4,cancel_reason_other_text,string,true,2026-08-21 09:46:13.725346
,referral_provider_cancel_reason,5,created_by,string,true,2026-08-21 09:46:13.725346
,referral_provider_cancel_reason,6,created_date,string,true,2026-08-21 09:46:13.725346
,referral_provider_cancel_reason,7,export_date,string,true,2026-08-21 09:46:13.725346
,referral_provider_decline_reason,1,decline_reason_id,string,true,2026-08-21 09:46:13.725346
,referral_provider_decline_reason,2,referral_provider_id,string,true,2026-08-21 09:46:13.725346
,referral_provider_decline_reason,3,decline_reason,string,true,2026-08-21 09:46:13.725346
,referral_provider_decline_reason,4,decline_reason_other_text,string,true,2026-08-21 09:46:13.725346
,referral_provider_decline_reason,5,created_by,string,true,2026-08-21 09:46:13.725346
,referral_provider_decline_reason,6,created_date,string,true,2026-08-21 09:46:13.725346
,referral_provider_decline_reason,7,export_date,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,1,message_id,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,2,referral_provider_id,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,3,message_read_by,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,4,message_read_timestamp,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,5,message_text,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,6,created_timestamp,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,7,created_by,string,true,2026-08-21 09:46:13.725346
,referral_provider_message,8,export_date,string,true,2026-08-21 09:46:13.725346
,referral_spot_category,1,referral_spot_category_id,string,true,2026-08-21 09:46:13.725346
,referral_spot_category,2,referral_id,string,true,2026-08-21 09:46:13.725346
,referral_spot_category,3,spot_category,string,true,2026-08-21 09:46:13.725346
