table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
framework_category,3,framework_code,character varying(10),NO,NULL,,NO,trial_framework_category_framework_code,framework,framework,framework_code,Code of the associated framework,Framework placement categories
framework_category,4,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Framework placement categories
holding_company,1,holding_company_id,uuid,NO,NULL,pk_provider_holding_company,YES,,,,,This is an autogenetaed UUID Primary Key,This entity will hold all details regarding a Holding Company
ipa_additional_fee,6,total,"numeric(19,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa_additional_fee,7,review_date,date,YES,NULL,,NO,,,,,NULL,NULL
ipa_additional_fee,8,end_date,date,YES,NULL,,NO,,,,,NULL,NULL
ipa_additional_fee,9,created_at,timestamp with time zone,NO,NULL,,NO,,,,,NULL,NULL
ipa_additional_fee,10,updated_at,timestamp with time zone,YES,NULL,,NO,,,,,NULL,NULL
ipa_additional_fee,11,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,NULL
ipa_child,1,ipa_child_id,uuid,NO,generate_ulid(),ipa_child_pkey,YES,,,,,NULL,NULL
ipa_child,2,ipa_id,uuid,NO,NULL,,NO,fk_ipa_child_ipa,ipa,ipa,ipa_id,NULL,NULL
ipa_child,3,child_full_name,character varying(150),NO,NULL,,NO,,,,,NULL,NULL
ipa_child,4,child_known_as,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,5,child_date_of_birth,date,YES,NULL,,NO,,,,,NULL,NULL
ipa_child,6,child_age_years,integer,NO,NULL,,NO,,,,,NULL,NULL
ipa_child,7,child_gender,character varying(40),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,8,child_ethnicity,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,9,child_preferred_language,character varying(80),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,10,child_religion,character varying(80),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,11,child_legal_status,character varying(100),NO,NULL,,NO,,,,,NULL,NULL
ipa_child,12,child_reference_number,character varying(50),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,13,child_support_needs_other_text,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,14,expected_destination_after_placement,character varying(120),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,15,expected_destination_other_text,character varying(3000),YES,NULL,,NO,,,,,NULL,NULL
ipa_child,16,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,NULL
ipa_child_support_needs,1,ipa_child_id,uuid,NO,NULL,ipa_child_support_needs_pkey,YES,fk_ipa_child_support_needs_child,ipa,ipa_child,ipa_child_id,IPA child identifier,Support needs recorded for an IPA child
ipa_child_support_needs,2,support_need,character varying(100),NO,NULL,ipa_child_support_needs_pkey,YES,,,,,Controlled support-need value,Support needs recorded for an IPA child
ipa_child_support_needs,3,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Support needs recorded for an IPA child
mlv_additional_fee,1,additional_fee_id,string,YES,NULL,,NO,,,,,,
mlv_additional_fee,2,offer_id,string,YES,NULL,,NO,,,,,,
mlv_additional_fee,3,fee_title,string,YES,NULL,,NO,,,,,,
mlv_additional_fee,4,number_of_hours,double,YES,NULL,,NO,,,,,,
mlv_additional_fee,5,other_fee_title,string,YES,NULL,,NO,,,,,,
mlv_additional_fee,6,fee_frequency,string,YES,NULL,,NO,,,,,,
mlv_additional_fee,7,rate,double,YES,NULL,,NO,,,,,,
mlv_additional_fee,8,export_date,date,YES,NULL,,NO,,,,,,
offer,1,offer_id,uuid,NO,NULL,pk_offer,YES,,,,,Auto Generated Unique Primary Key,Holds key information regarding the offer as created by the provider
offer,2,referral_provider_id,uuid,NO,NULL,,NO,fk_referral_provider,referral,referral_provider,referral_provider_id,FK to Referral Provider entity,Holds key information regarding the offer as created by the provider
offer,3,id_number,character varying(100),NO,NULL,,NO,,,,,Offer identifier,Holds key information regarding the offer as created by the provider
offer,4,estimated_start_date,date,YES,NULL,,NO,,,,,Start date of the offer,Holds key information regarding the offer as created by the provider
offer,5,core_weekly_fee,"numeric(6,2)",YES,NULL,,NO,,,,,Core weekly fee of offer ,Holds key information regarding the offer as created by the provider
offer,6,includes_education,boolean,YES,NULL,,NO,,,,,Education included or excluded in offer,Holds key information regarding the offer as created by the provider
offer,7,child_summary_needs,text,YES,NULL,,NO,,,,,child needs summary,Holds key information regarding the offer as created by the provider
offer,8,offer_date,timestamp without time zone,YES,now(),,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
